id,name,address,phone,type,latitude,longitude
H0001,帝国ホテル,東京都千代田区内幸町１丁目１番１号,03-3504-1111,hotel,35.6714385,139.7583643
H0006,ホテルニューグランド,神奈川県横浜市中区山下町１０番地,045-681-1841,hotel,35.4447608,139.6495932
H0012,日光金谷ホテル,栃木県日光市上鉢石町１３００番地,0288-54-0001,hotel,36.7531153,139.6051165
H0016,パレスホテル東京,東京都千代田区丸の内一丁目１番１号,03-3211-5211,hotel,35.6846529,139.7614386
H0017,川奈ホテル,静岡県伊東市川奈１４５９番地,0557-45-1111,hotel,34.9399792,139.1402541
H0019,富士屋ホテル,神奈川県足柄下郡箱根町宮ノ下３５９番地,0460-82-2211,hotel,35.2451401,139.0584024
H0021,名古屋観光ホテル,愛知県名古屋市中区錦１丁目１９番３０号,052-231-7711,hotel,35.16877650000001,136.8954481
H0022,宝塚ホテル,兵庫県宝塚市栄町1-1-33,0797-87-1151,hotel,34.8091319,135.3425324
H0023,ホテルオークラ京都,京都府京都市中京区河原町通二条南入一之船入町５３７番地の４,075-211-5111,hotel,35.0118482,135.7694265
H0025,富士ビューホテル,山梨県南都留郡富士河口湖町勝山５１１,0555-83-2211,hotel,35.5084567,138.7386748
H0026,ウェスティン都ホテル京都,京都府京都市東山区粟田口華頂町１番地,075-771-7111,hotel,35.0081281,135.7874855
H0029,雲仙観光ホテル,長崎県雲仙市小浜町雲仙３２０番地,0957-73-3263,hotel,32.74149,130.2615939
H0030,琵琶湖ホテル,滋賀県大津市浜町２番４０号,077-524-7111,hotel,35.0102172,135.8682568
H0031,第一ホテル東京,東京都港区新橋１丁目２番６号,03-3501-4411,hotel,35.6686677,139.7573432
H0034,万平ホテル,長野県北佐久郡軽井沢町軽井沢925,0267-42-1234,hotel,36.3576444,138.6419423
H0044,札幌グランドホテル,北海道札幌市中央区北一条西４丁目２番地,011-261-3311,hotel,43.0591192,141.3647138
H0045,志摩観光ホテル ザ クラシック,三重県志摩市阿児町神明７３１番地,0599-43-1211,hotel,34.30942539999999,136.8168109
H0050,箱根ホテル,神奈川県足柄下郡箱根町箱根６５番地,0460-83-6311,hotel,35.190776,139.0259479
H0057,山の上ホテル,東京都千代田区神田駿河台１の１,03-3293-2311,hotel,35.6986273,139.7618814
H0059,グランドプリンスホテル高輪,東京都港区高輪３丁目１３番１号,03-3447-1111,hotel,35.6308691,139.7347462
H0075,奈良ホテル,奈良県奈良市高畑町１０９６番地,0742-26-3300,hotel,34.6798224,135.8335354
H0080,指宿いわさきホテル,鹿児島県指宿市十二町３８０５番地１,0993-22-2131,hotel,31.2245818,130.655552
H0086,大磯プリンスホテル,神奈川県中郡大磯町国府本郷５４６番地,0463-61-1111,hotel,35.3008767,139.2807307
H0099,白馬東急ホテル,長野県北安曇郡白馬村大字北城４６８８,0261-72-3001,hotel,36.7059748,137.8394316
H0109,ホテルグリーンヒル白浜,和歌山県西牟婁郡白浜町２０１８番地,0739-42-2733,hotel,33.6781397,135.3481896
H0112,霧島いわさきホテル,鹿児島県霧島市牧園町高千穂３９５８,0995-78-8888,hotel,31.9012247,130.8355214
H0118,The Okura Tokyo（オークラ東京）,東京都港区虎ノ門２丁目１０番４号,03-3582-0111,hotel,35.6669532,139.7442066
