facility_id,data_sources,original_ids,last_updated,facility_name,operator_name,address,phone,prefecture,process_tags,daily_capacity,accepted_materials,is_registered,is_certified,is_methane,registration_no,expiration_date,url,description,image_url,latitude,longitude
889f8a31-79f7-4412-959e-bfd2c79cb968,['certified'],{'certified': '10'},2026-01-06T23:31:48.756189,有限会社ブライトピック千葉 / 溝原工場 / 株式会社エコ・フード,株式会社エコ・フード / 有限会社ブライトピック千葉 / 有限会社ブライトピック,＜有限会社ブライトピック千 葉＞ 千葉県旭市溝原妙見壷 1009、1020-1、1023-1、 溝原字蕨谷1010-2、1039-2 ＜株式会社エコ・フード＞ 千葉県匝瑳市川辺字宮敷 207-1、207-2、208-1、208-2,,,['飼料化'],,,False,True,False,9.0,,,食品関連事業者: イオンリテール株式会社 / 収集先: 千葉県 ：千葉市、銚子 / 市、旭市、習志野市、柏 / 市、八千代市、鎌ケ谷市 / 食品関連事業者: 株式会社ファミリーマート / トオカツフーズ株式会社 / 戸田フーズ株式会社 / 山崎製パン株式会社 / 収集先: 東京都 ：千代田区、中 / 央区、港区、新宿区、文 / 京区、台東区、墨田区、 / 江東区、品川区、目黒 / 区、大田区、世田谷区、 / 渋谷区、中野区、杉並 / 区、豊島区、北区、荒川 / 区、板橋区、練馬区、足 / 立区、葛飾区、江戸川 / 区、八王子市、昭島市、 / 日野市、多摩市 / 神奈川県 ：横浜市、横 / 須賀市 / 栃木県 ：足利市 / 埼玉県 ：戸田市,,35.77493,140.635624
a3165b91-802e-49dd-a000-ac1322d239c3,['certified'],{'certified': '35'},2026-01-06T23:31:48.765901,＜肥料化＞ / ハリマ産業エコテック株式会 / 社 本社工場 / ＜飼料化＞ / ハリマ産業エコテック株式会 / 社第二工場,ハリマ産業エコテック株式会社,＜肥料化＞ 兵庫県姫路市網干区浜田 1223番地の10 ＜飼料化＞ 兵庫県姫路市網干区浜田 1223番地の22,,,"['肥料化', '飼料化']",,,False,True,False,35.0,,,食品関連事業者: スターバックスコーヒージャパン / 株式会社 / 株式会社鵜鷹商店 / 株式会社姫路農産流通センター / 株式会社喜久屋産業 / 収集先: 滋賀県 ：大津市、彦根 / 市、長浜市、近江八幡 / 市、草津市、甲賀市、東 / 近江市、竜王町、多賀町 / 京都府 ：京都市、宇治 / 市、京田辺市、木津川 / 市、久御山町 / 大阪府 ：大阪市、堺市、 / 豊中市、池田市、吹田 / 市、高槻市、守口市、枚 / 方市、茨木市、八尾市、 / 泉佐野市、寝屋川市、大 / 東市、和泉市、箕面市、 / 東大阪市、泉南市、四条 / 畷市 / 兵庫県 ：神戸市、姫路 / 市、尼崎市、明石市、西 / 宮市、伊丹市、加古川 / 市、宝塚市、三木市、川 / 西市、加西市、淡路市 / 奈良県 ：奈良市、大和 / 高田市、大和郡山市、橿 / 原市、生駒市、河合町 / 和歌山県：和歌山市、岩 / 出市,,34.7684376,134.5731081
d1d0461f-b59d-4956-8582-2feb3037bc4d,['registered'],{'registered': '2'},2026-01-06T23:31:48.769071,三重中央開発株式会社 本社工場,三重中央開発株式会社,三重県伊賀市予野字鉢屋4713-1、10611-1、10611-2、10613-1、10614-1、10616-1、10616-3、10617-1、10618-1、10621-1、10624-1、10625、10626-1,0595-20-1119,,['肥料化事業'],,"一般廃棄物, 産業廃棄物",True,False,False,2.0,R11.4.26,,,,34.7110291,136.099257
bbfa67e5-e70a-4bcd-844f-d176711e8ba7,['registered'],{'registered': '7'},2026-01-06T23:31:48.772453,株式会社エム・シー・エス（肥料工場）,株式会社エム・シー・エス,三重県伊賀市島ヶ原8801番地の8,0595-66-0082,,['肥料化事業'],,"一般廃棄物, 産業廃棄物, 有価物",True,False,False,7.0,R10.3.27,,,,34.7415831,136.0597678
4fb38e36-de43-41a3-bc59-b3c37323f515,['registered'],{'registered': '10'},2026-01-06T23:31:48.775956,株式会社大栄工業 三谷バイオガス発電所,株式会社大栄工業,三重県伊賀市真泥字東山5024-1、5024-2、5024-3,0595-21-0988,,['メタン化事業'],,"一般廃棄物, 産業廃棄物",True,False,False,10.0,R7.8.10,,,,34.7641288,136.1924151
932502ff-215a-4ed2-a20f-e49801dd3aea,"['registered', 'certified']","{'registered': '4', 'certified': '47'}",2026-01-06T23:31:48.780749,株式会社大栄工業 三谷工場,株式会社大栄工業,三重県伊賀市真泥字東山5024-2、5024-3、5024-4、5024-5,0595-21-0988,,"['肥料化', '肥料化事業']",,"一般廃棄物, 産業廃棄物",True,True,False,4.0,R7.11.27,,食品関連事業者: 株式会社ホテルプリンセス京都 / 収集先: 京都府：京都市 / 食品関連事業者: 株式会社ロイヤルホテル / 収集先: 大阪府：大阪市,,34.7641288,136.1924151
5f648ea7-f3db-48ac-a2c3-da768afc0d2c,['certified'],{'certified': '30'},2026-01-06T23:31:48.784372,株式会社大栄工業三谷工場,株式会社大栄工業,三重県伊賀市真泥字東山 5024-5,,,['肥料化'],,,False,True,False,30.0,,,食品関連事業者: 日本ハム食品株式会社 / 収集先: 三重県：木曽岬町,,34.7641288,136.1924151
aa04664c-b2ba-4e3a-b882-9b72e77025f3,['syokuri'],{'syokuri': '448'},2026-01-06T23:31:48.787511,株式会社イガ再資源,株式会社イガ再資源,三重県伊賀市西之澤1384番地の6,0595-45-8223,三重県,['飼料化'],,食品リサイクラー,False,False,False,,,https://iga-saisigen.com/,食品廃棄物は、工場で「選別」「混合」「発酵」の過程を経て、リキッドフィーディング（液状飼料）へとリサイクルし、グループ企業の養豚場「㈱トントンファーム」で使用されます。乳酸菌たっぷりの液状飼料を食べて育った豚は腸が丈夫になり抗生物質などの薬を必要としません。,https://syokuri.jp/top/wp-content/themes/zsr-1/img/logo-header.png,34.7872398,136.1946261
932cf610-8e94-47f9-a0c6-64c4464fc675,['registered'],{'registered': '6'},2026-01-06T23:31:48.791025,株式会社イガ再資源 西之澤工場,株式会社イガ再資源,三重県伊賀市西之澤字薄木谷1486-6,0595-45-8223,,['飼料化事業'],,"一般廃棄物, 産業廃棄物",True,False,False,6.0,R10.3.24,,,,34.7933081,136.1876334
fe372c0c-92ad-4d96-835f-ff7b72b95e9b,['registered'],{'registered': '8'},2026-01-06T23:31:48.794706,多度バイオマスセンター,株式会社東海環境サービス,三重県桑名市多度町猪飼字室ヶ谷1975番19、1975番20、1975番21,0594-22-6349,,['肥料化事業'],,"一般廃棄物, 有価物",True,False,False,8.0,R10.4.23,,,,35.1192246,136.6186549
